Word,Sentiment
'kapucni,-1
2 arcú,-1
2 arc,-1
még inkább,1
egy rendben,1
a posteriori,1
eleve,-1
a+,1
elhagyott,-1
elhagyatott,-1
elhagyott személy,-1
lemondás,-1
megaláz,-1
alázatosság,-1
zavarba hoz,-1
abasia,-1
abasia trepidans,-1
csökkenthető,1
enyhíthető kellemetlenség,-1
alábbhagy,-1
abatikus,-1
abaxiálisan,1
abbé,1
lemondható,1
lemondani a trónról,-1
hasi aktinomikózis,-1
hasi aorta aneurizma,1
hasi légzés,-1
emberrablás,-1
aberrát,-1
aberráció,-1
abetalipoproteinémia,-1
gyűlöl,-1
tartózkodó,1
képesség,1
abiotrófia,-1
siralmas,-1
ablált,-1
ablált,-1
ablativus,1
ablaut,1
képes,1
ép testű,1
ablepharia,1
képességek,1
rendellenes,-1
rendellenesség,1
rendellenesen,1
abokklúzió,1
megszüntetni,-1
megszüntethető,1
utálatos,-1
förtelmesen,-1
utál,-1
utálatos,-1
elvetél,-1
elvetélt,-1
abortív,-1
idő előtt,1
megszakítja,-1
bővelkedik,-1
bővelkedik,1
felett,-1
fent megnevezett,-1
ledörzsöl,-1
csiszoló,-1
koptatóképesség,-1
abreaktikus,-1
hirtelen,1
hirtelen,-1
tályogos,-1
megszökik,-1
elrejtőzik,1
hiány,-1
hiányzó,-1
hiányzó elméjű,-1
távollévő,-1
hiányzási arány,-1
hiányzás,1
szórakozottság,1
abszolút,-1
abszolút alkohol,-1
teljesen,1
korlátlan hatalom,1
felmentő,1
elnyel,1
felszívódó,1
felszívja,1
abszorpció,-1
önmegtartóztatás,-1
önmegtartóztatás,1
önmegtartóztató,-1
elvont,1
értetlenül,-1
abszurd,1
képtelenség,-1
képtelenül,-1
abszurditás,-1
abulic,-1
bőség,1
bőséges,-1
visszaélés,1
bántalmazták,1
visszaéléseket,-1
visszaélésszerű,-1
sértően,1
feneketlen,-1
mélységesen,-1
szakadék,-1
akadémiai,-1
akadémiai szabadság,-1
tudományos kapcsolat,1
akadémiailag,1
akadémia,-1
acadia nemzeti park,1
akantocita,-1
akantocitózis,-1
acardia,-1
akarofóbia,-1
gyümölcstelen,-1
akatalektikus,-1
acataphasia,-1
akatexia,-1
akatexis,-1
acaudate,-1
gyorsító,-1
elfogad,1
elfogadható,1
elfogadhatóság,1
elfogadás,1
elfogadása,1
elfogadó,1
elfogadó,1
hozzáférhető,1
hozzáférhető,1
csatlakozási,1
kiegészítő,1
tartozék,1
tartozék a tény során,-1
baleset,-1
balesetveszélyes,-1
véletlen,-1
elismerést,1
elismerően,1
felkiáltás,1
meghonosít,-1
elismerés,1
elismeréseket,1
befogadni,1
befogadó,1
szállás,-1
szállásadó,-1
alkalmazkodó,1
alkalmazkodó,1
"megvalósítani, végrahajt",1
teljesítve,1
teljesítmény,1
teljesítmények,1
egyetértésben,1
jogokkal összhangban,1
összhangban lévő,1
szerint,1
Eszerint,1
leszólít,-1
fiókot,1
felszerelés,-1
növekedés,1
akkréciós,-1
gyarapodó,-1
felhalmozódás,-1
felhalmozódó,1
pontos,1
pontosan,1
elátkozott,-1
vád,-1
vádakat,-1
vádol,-1
vádol,-1
vádló,-1
vádlón,1
vádló,-1
hozzászokott,1
ász,-1
pikk ász,-1
acentrikus,-1
acentrikus kromoszóma,-1
fej nélküli,1
acephalia,-1
elkeserít,-1
fanyar,-1
fanyarul,-1
keserűség,-1
acetin,-1
acetoecetsav,-1
acetum,-1
fájdalom,-1
fájt,-1
fáj,-1
fáj,-1
elérhető,1
teljesítmény,1
eredményeket,1
elérhető,1
Achilles-sarok,1
fájó,-1
achlamydeos,-1
achlorhydria,-1
sósav,-1
achondrit,-1
achondritikus,-1
achondroplasztikus,-1
akromatikus szín,-1
akromatous,-1
achromia,-1
fájó,-1
achylia gastrica,1
sav,-1
sav gyors,-1
savképző,-1
