Word,Sentiment
'de capuz,-1
2 caras,-1
2 rostos,-1
uma fortiori,1
um ok,1
a posteriori,1
a priori,-1
a+,1
abandono,-1
abandonado,-1
pessoa abandonada,-1
abandono,-1
humilhar,-1
humilhação,-1
embaraço,-1
abasia,-1
abasia trepidans,-1
abatido,1
incômodo abafado,-1
diminuir,-1
abático,-1
abaxialmente,1
abade,1
abdicável,1
abdicar,-1
actinomicose abdominal,-1
aneurisma da aorta abdominal,1
respiração abdominal,-1
rapto,-1
aberrar,-1
aberração,-1
abetalipoproteinemia,-1
abominar,-1
ambiente,1
habilidade,1
abiotrofia,-1
abjeto,-1
remover,-1
ablado,-1
ablativo,1
apofonia,1
capaz,1
encorpado,1
abelfaria,1
capacidade,1
anormal,-1
anormalidade,1
anormalmente,1
aboclusão,1
abolir,-1
anulável,1
abominável,-1
abominavelmente,-1
abominar,-1
abominação,-1
abortar,-1
abortado,-1
abortivo,-1
abortivamente,1
aborta,-1
abundam,-1
abunda,1
acima de,-1
Acima mencionado,-1
abrasão,-1
abrasivo,-1
abrasividade,-1
ab-reagir,-1
abrupto,1
abruptamente,-1
abscesso,-1
fugir,-1
fugitivo,1
ausência,-1
ausente,-1
distraído,-1
ausente,-1
taxa de absenteísmo,-1
absentismo,1
distração,1
absoluto,-1
álcool absoluto,-1
absolutamente,1
absolutismo,1
absolvedor,1
absorver,1
absorvivel,1
absorver,1
absorção,-1
abstinência,-1
abstinência,1
abstinente,-1
abstrativo,1
abstrusamente,-1
absurdo,1
absurdo,-1
absurdamente,-1
absurdo,-1
abúlico,-1
abundância,1
abundante,-1
Abuso,1
abusado,1
abusos,-1
abusivo,-1
abusivamente,1
abismal,-1
abismal,-1
abismo,-1
acadêmico,-1
liberdade acadêmica,-1
relação acadêmica,1
academicamente,1
Academia,-1
parque nacional acádia,1
acantócito,-1
acantocitose,-1
acárdia,-1
acarofobia,-1
acarpo,-1
acataléctico,-1
acatafasia,-1
acatexia,-1
acatexia,-1
acaudar,-1
acelerador,-1
aceitar,1
aceitável,1
aceitação,1
aceitação,1
aceitação,1
aceitando,1
receptivo,1
acessível,1
acessível,1
acessório,1
acessório,1
acessório,1
acessório durante o fato,-1
acidente,-1
propenso a acidentes,-1
acidental,-1
aclamação,1
aclamado,1
aclamação,1
aclimatar,-1
elogio,1
elogios,1
acomodar,1
acomodando,1
alojamento,-1
endossante de acomodação,-1
acomodativo,1
acomodativo,1
concluir,1
realizado,1
realização,1
conquistas,1
acordo,1
acordo de direitos,1
de acordo,1
de acordo com,1
adequadamente,1
abordar,-1
conta,1
apetrechos,-1
acreção,1
adicional,-1
acretivo,-1
acumulação,-1
acumulativo,1
exato,1
com precisão,1
maldito,-1
acusação,-1
acusações,-1
acusar,-1
acusa,-1
acusando,-1
acusadoramente,1
acusador,-1
acostumado,1
ás,-1
ás de Espadas,-1
acêntrico,-1
cromossomo acêntrico,-1
acéfalo,1
acefalia,-1
acerbar,-1
amargo,-1
amargamente,-1
aspereza,-1
acetina,-1
ácido acetoacético,-1
acetum,-1
dor,-1
dolorido,-1
dores,-1
dolorido,-1
alcançável,1
conquista,1
conquistas,1
alcançável,1
calcanhar de Aquiles,1
dolorido,-1
aclâmideo,-1
acloridria,-1
aclorídrico,-1
acondrito,-1
acondrítico,-1
acondroplástico,-1
cor acromática,-1
acromático,-1
acromia,-1
dolorido,-1
achylia gástrica,1
ácido,-1
ácido rápido,-1
formação de ácido,-1
amante do ácido,-1
Teste ácido,1
valor ácido,1
acidemia,-1
ácido,-1
leite acidófilo,-1
acidótico,1
acidulado,-1
acidez,-1
reconhecer,1
reconhecível,1
reconhecido,1
acne,-1
acneiforme,-1
um resfriado,-1
acólito,-1
acoreia,-1
em forma de bolota,1
violão,1
acusticamente,1
acústica,1
convivência,1
familiarizado,1
aquiescência,1
adquirível,1
hemocromatose adquirida,-1
imunidade adquirida,1
aquisição,1
ganância,1
absolvição,1
acre,-1
acidez,-1
acridamente,-1
acidez,-1
amargo,-1
acrimoniosamente,-1
acrimônia,-1
uma crítica,-1
acroanestesia,-1
acrobata,1
façanha acrobática,-1
acromegálico,-1
acromegalia,-1
acrônimo,1
acrofobia,1
acrofóbico,-1
acrilamida,-1
acrílico,-1
Aja,1
agir sobre,1
acionável,1
atuação,1
encenando,-1
dermatite actínica,-1
actinomyces,-1
actinomicose,-1
