Word,Sentiment
kapuç,-1
2 ballafaquar,-1
2 fytyra,-1
a fortiori,1
në rregull,1
a posteriori,1
A priori,-1
a+,1
braktis,-1
i braktisur,-1
person i braktisur,-1
braktisje,-1
bazë,-1
poshtërim,-1
abash,-1
abasia,-1
abasia trepidans,-1
i abatueshëm,1
telash i pakësueshëm,-1
pakësoj,-1
abatik,-1
në mënyrë abaxiale,1
abbe,1
abdikues,1
abdikoj,-1
aktinomikoza abdominale,-1
aneurizma e aortës abdominale,1
frymëmarrje abdominale,-1
rrëmbimi,-1
i devijuar,-1
lajthitje,-1
abetalipoproteinemia,-1
urrej,-1
i qëndrueshëm,1
aftësia,1
abiotrofi,-1
i poshtër,-1
fshihet,-1
i hequr,-1
ablative,1
ablaut,1
në gjendje,1
të aftë për trup,1
aftefaria,1
aftësitë,1
jonormal,-1
anomali,1
në mënyrë jonormale,1
abokluzioni,1
shfuqizojnë,-1
të shfuqizuara,1
e neveritshme,-1
në mënyrë të neveritshme,-1
i neveritshëm,-1
neveri,-1
abort,-1
e abortuar,-1
abortues,-1
në mënyrë të dështuar,1
aborton,-1
bollëk,-1
bollëk,1
sipër,-1
të emërtuar më lart,-1
gërryej,-1
gërryes,-1
gërryes,-1
në mënyrë të përbashkët,-1
i papritur,1
befas,-1
abscesi,-1
të arratisur,-1
i arratisur,1
mungesa,-1
mungon,-1
mendje e munguar,-1
i munguar,-1
shkalla e mungesës,-1
mungesa në punë,1
mungesë mendjeje,1
absolute,-1
alkool absolut,-1
absolutisht,1
absolutiteti,1
shfajësues,1
thithin,1
të absorbueshme,1
thithin,1
thithjen,-1
abstenim,-1
abstinencë,1
abstinent,-1
abstrakte,1
në mënyrë abstruse,-1
absurde,1
absurditet,-1
në mënyrë absurde,-1
absurditet,-1
abulike,-1
bollëk,1
të bollshme,-1
abuzimi,1
i abuzuar,1
abuzimet,-1
abuzive,-1
në mënyrë abuzive,1
i rrënuar,-1
në mënyrë të tmerrshme,-1
humnerë,-1
akademik,-1
liria akademike,-1
marrëdhënie akademike,1
akademikisht,1
akademi,-1
parku kombëtar akadia,1
akantociti,-1
akantocitoza,-1
akardia,-1
akarofobia,-1
akarpoze,-1
akatektike,-1
akatafazi,-1
kateksia,-1
akateksi,-1
akaudate,-1
përshpejtues,-1
pranoj,1
e pranueshme,1
pranueshmëria,1
pranimi,1
pranimi,1
duke pranuar,1
pranues,1
të aksesueshme,1
të arritshme,1
aksesore,1
aksesor,1
aksesor,1
aksesor gjatë faktit,-1
aksident,-1
të prirur për aksidente,-1
aksidentale,-1
brohoritje,1
i vlerësuar,1
brohoritje,1
ambientohen,-1
vlerësim,1
vlerësime,1
akomoduar,1
akomoduese,1
akomodimi,-1
miratues akomodimi,-1
akomoduese,1
akomoduese,1
realizoj,1
i realizuar,1
arritje,1
arritjet,1
marrëveshje,1
përputhje e të drejtave,1
në përputhje,1
sipas,1
në përputhje me rrethanat,1
kosto,-1
llogari,1
pajisje,-1
shtim,1
shtese,-1
akretive,-1
akumulimi,-1
akumuluese,1
të sakta,1
me saktësi,1
i mallkuar,-1
akuza,-1
akuzat,-1
akuzim,-1
akuzon,-1
duke akuzuar,-1
në mënyrë akuzuese,1
akuzuese,-1
i mësuar,1
asi,-1
asi i maçit,-1
acentrike,-1
kromozomi acentrik,-1
acefale,1
acefalia,-1
acerbatoj,-1
acerbike,-1
në mënyrë acerbike,-1
mprehtësia,-1
acetinë,-1
acid acetoacetik,-1
acetum,-1
dhimbje,-1
i dhembur,-1
dhimbjet,-1
dhimbje,-1
të arritshme,1
arritje,1
arritjet,1
të arritshme,1
thembra e akilit,1
me dhimbje,-1
aklamide,-1
aklorhidria,-1
alorhidrike,-1
akondrite,-1
akondritike,-1
akondroplastike,-1
ngjyra akromatike,-1
akromatoze,-1
akromi,-1
dhimbje,-1
achylia gastrica,1
acid,-1
acid i shpejtë,-1
formimi i acidit,-1
i dashuruar me acid,-1
test acid,1
vlera e acidit,1
acidemia,-1
acidike,-1
